canon,alias_found,book_id,title,canonical_title,author,canonical_author,collection,language,library_section,chunk_count,char_count,pages_extracted,es_indexed,fidelity_dist,obs
Inácio de Antioquia,Inácio de Antioquia,2090,Cartas Santo Inácio de Antioquia,Cartas Santo Inácio de Antioquia,Santo Inácio de Antioquia,Santo Inácio de Antioquia,PT,pt,patristica,26,72222,26,26,"{""unverified"": 11, ""verified"": 15}",
Inácio de Antioquia,Santo Inácio de Antioquia,2090,Cartas Santo Inácio de Antioquia,Cartas Santo Inácio de Antioquia,Santo Inácio de Antioquia,Santo Inácio de Antioquia,PT,pt,patristica,26,72222,26,26,"{""unverified"": 11, ""verified"": 15}",
Inácio de Antioquia,Padres Apostólicos,9,Patrística Vol. 1 — Padres Apostólicos,Patrística Vol. 1 — Padres Apostólicos,Padres Apostólicos,Padres Apostólicos,PT,pt,patristica,232,680092,192,232,"{""unverified"": 224, ""source_text"": 8}",
Justino Mártir,Justino Mártir,10,I e II Apologias — Diálogo com Trifão,I e II Apologias; Diálogo com Trifão,São Justino Mártir,São Justino Mártir,PT,pt,patristica,245,685293,196,245,"{""unverified"": 39, ""verified"": 205, ""source_text"": 1}",
Justino Mártir,São Justino Mártir,10,I e II Apologias — Diálogo com Trifão,I e II Apologias; Diálogo com Trifão,São Justino Mártir,São Justino Mártir,PT,pt,patristica,245,685293,196,245,"{""unverified"": 39, ""verified"": 205, ""source_text"": 1}",
Gregório de Nissa,Gregório de Nissa,2032,Patrística Vol. 29 — Gregório de Nissa,Patrística Vol. 29 — Gregório de Nissa,São Gregório de Nissa,São Gregório de Nissa,PT,pt,patristica,275,809949,164,275,"{""unverified"": 208, ""source_text"": 67}",
Gregório de Nissa,Gregório de Nissa,2054,Sobre a Vida de Moisés,Sobre a Vida de Moisés,São Gregório de Nissa,São Gregório de Nissa,PT,pt,patristica,94,266348,93,94,"{""unverified"": 93, ""source_text"": 1}",
Agostinho,Agostinho,35,Patrística Vol. 9_2 — Comentário aos Salmos (51-100),Comentário aos Salmos (51-100),Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,955,2740463,659,955,"{""unverified"": 821, ""source_text"": 134}",
Agostinho,Agostinho,43,Patrística Vol. 9_3 — Comentário aos Salmos (101-150),Comentário aos Salmos (101-150),Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,914,2616930,630,914,"{""unverified"": 782, ""source_text"": 132}",
Agostinho,Agostinho,45,Patrística Vol. 11 — Solilóquios; A Vida Feliz,Solilóquios; A Vida Feliz,Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,93,267542,83,93,"{""unverified"": 92, ""source_text"": 1}",
Agostinho,Agostinho,24,Patrística Vol. 7 — A Trindade,,Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,619,1764597,436,619,"{""unverified"": 550, ""source_text"": 69}",
Agostinho,Agostinho,21,Patrística Vol. 8 — O Livre Arbítrio,,Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,216,629770,135,216,"{""unverified"": 167, ""source_text"": 49}",
Agostinho,Agostinho,34,Patrística Vol. 9_1 — Comentário aos Salmos (1-50),Comentário aos Salmos (1-50),Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,714,2047465,510,714,"{""unverified"": 625, ""source_text"": 89}",
Agostinho,Agostinho,44,Patrística Vol. 10 — Confissões,Confissões,Santo Agostinho,Santo Agostinho de Hipona,PT,pt,patristica,307,878908,247,307,"{""unverified"": 306, ""source_text"": 1}",
Agostinho,Agostinho,2013,Patrística Vol. 12 — A Graça (I): O Espírito e a Letra; A Natureza e a Graça; A Graça de Cristo e o Pecado Original,Patrística Vol. 12 — A Graça (I): O Espírito e a Letra; A Natureza e a Graça; A Graça de Cristo e o Pecado Original,Santo Agostinho,Santo Agostinho,PT,pt,patristica,227,648662,184,227,"{""unverified"": 216, ""source_text"": 11}",
Agostinho,Agostinho,2017,Patrística Vol. 16 — Dos Bens do Matrimônio; A Santa Virgindade; Dos Bens da Viuvez,Patrística Vol. 16 — Dos Bens do Matrimônio; A Santa Virgindade; Dos Bens da Viuvez,Santo Agostinho,Santo Agostinho,PT,pt,patristica,202,584769,166,202,"{""unverified"": 191, ""source_text"": 11}",
