term,normalization,pages,literal_occurrences,works,body,notes,intro,editorial,uncl
eucaristia,NFD+casefold,184,252,50,35,0,0,2,215
eucharistia,NFD+casefold,121,246,15,0,0,0,245,1
eucharist,NFD+casefold,23,25,10,1,0,0,9,15
eucharistic,NFD+casefold,23,27,12,0,0,0,15,12
eucharisticus,NFD+casefold,1,1,1,0,0,0,1,0
eucarístico,NFD+casefold,20,46,9,6,0,0,0,40
eucarística,NFD+casefold,11,26,7,6,0,0,0,20
eucharistiam,NFD+casefold,101,177,12,0,0,0,177,0
eucharistiae,NFD+casefold,1,2,1,0,0,0,2,0
εὐχαριστία,NFD+casefold+original,26,78,7,0,0,0,76,2
Εὐχαριστία,NFD+casefold+original,26,78,7,0,0,0,76,2
ευχαριστια,NFD+casefold,26,42,7,0,0,0,41,1
εὐχαριστίας,NFD+casefold+original,37,92,10,0,0,0,90,2
εὐχαριστίᾳ,NFD+casefold+original,27,50,7,0,0,0,49,1
εὐχαριστεῖν,NFD+casefold+original,8,19,4,2,0,0,17,0
